iter	RMSE
0	0.3966242272
1	0.3941246423
2	0.3914326091
3	0.3890207279
4	0.3864181075
5	0.3838463129
6	0.3814164953
7	0.3789419909
8	0.3765350316
9	0.3742237093
10	0.3717502743
11	0.3692476718
12	0.3666910891
13	0.3644307613
14	0.3621397249
15	0.3598252171
16	0.3574395039
17	0.3552076314
18	0.3529550173
19	0.3507321893
20	0.3485471216
21	0.3462360315
22	0.3440228149
23	0.3419125342
24	0.3399139951
25	0.3377448401
26	0.3356524461
27	0.3334534391
28	0.3313070138
29	0.3292215896
30	0.3271422938
31	0.3251763491
32	0.3233590962
33	0.3213481138
34	0.3194279424
35	0.3174574704
36	0.3155950842
37	0.3137949926
38	0.3118212286
39	0.309918278
40	0.3079660344
41	0.306033804
42	0.3043035516
43	0.3024908643
44	0.3006308621
45	0.2987952327
46	0.2969823932
47	0.2953381436
48	0.2936290905
49	0.2918378896
50	0.2899933334
51	0.2882160834
52	0.2865808508
53	0.2849439353
54	0.2832228123
55	0.2816655058
56	0.280076236
57	0.2785515273
58	0.2770239903
59	0.2754494057
60	0.2738756217
61	0.2723751619
62	0.270841056
63	0.2692955375
64	0.2678747388
65	0.266324171
66	0.2648645557
67	0.2634760644
68	0.2620251158
69	0.2605259383
70	0.2590273552
71	0.2574849477
72	0.2561070999
73	0.2548164437
74	0.2535189419
75	0.2524306265
76	0.2511200079
77	0.2497819308
78	0.2484971663
79	0.2472237255
80	0.2459102462
81	0.2446446884
82	0.2435210624
83	0.2422577454
84	0.2411970156
85	0.2399565938
86	0.2387002682
87	0.2374365942
88	0.2362517166
89	0.2350253338
90	0.2339337608
91	0.2327658015
92	0.2317088937
93	0.2306535705
94	0.229570431
95	0.2284277646
96	0.2272728524
97	0.2261603165
98	0.2250227793
99	0.2239760527
100	0.2229912423
101	0.22191487
102	0.2210225093
103	0.2199370357
104	0.2188681455
105	0.2178890058
106	0.2168320373
107	0.215844817
108	0.214878044
109	0.2139030691
110	0.2129196124
111	0.2120271618
112	0.2110903962
113	0.21012795
114	0.2091951564
115	0.2083221859
116	0.2074387033
117	0.2065254699
118	0.2057528599
119	0.204935096
120	0.2040063912
121	0.2031777339
122	0.2023034472
123	0.2014382127
124	0.2005982941
125	0.1997199392
126	0.1988603239
127	0.1980270197
128	0.197270172
129	0.1964592371
130	0.1956953588
131	0.194841659
132	0.1940322949
133	0.1932658903
134	0.1924628418
135	0.1917056791
136	0.1909032726
137	0.190172508
138	0.1895062407
139	0.1887908284
140	0.188110741
141	0.1873424198
142	0.1865708019
143	0.1858463022
144	0.1850887834
145	0.1843418955
146	0.1837080925
147	0.1830776044
148	0.1823392662
149	0.1816914664
150	0.1810488473
151	0.1803723048
152	0.1797315775
153	0.179092337
154	0.1784448348
155	0.1777548599
156	0.1771482057
157	0.1764977866
158	0.1758538109
159	0.1752454403
160	0.1746077895
161	0.1740340758
162	0.1733934016
163	0.1728333943
164	0.1722920424
165	0.1717333544
166	0.1711675819
167	0.1706114517
168	0.1700712162
169	0.1695473554
170	0.1690327292
171	0.1685277846
172	0.1679658297
173	0.1674505165
174	0.1668786804
175	0.1664141305
176	0.1658422246
177	0.1653169187
178	0.1647666282
179	0.1642730144
180	0.1637571736
181	0.1632981702
182	0.1628664241
183	0.1623570197
184	0.1619016273
185	0.161410431
186	0.1609407195
187	0.1604506602
188	0.1600384656
189	0.1596542946
190	0.1592334815
191	0.1587292445
192	0.1582577736
193	0.1577873305
194	0.1572968423
195	0.1568558157
196	0.1564459913
197	0.1560053662
198	0.1556134945
199	0.155201545
200	0.1548093134
201	0.1544085309
202	0.1540238178
203	0.1536002665
204	0.1531747251
205	0.1527828174
206	0.1524272806
207	0.1520214948
208	0.1516212045
209	0.1512724987
210	0.1508746141
211	0.1505564876
212	0.1501969061
213	0.1498812856
214	0.1495266544
215	0.1491230892
216	0.1487134085
217	0.1483227316
218	0.1479706942
219	0.1476003381
220	0.1472968697
221	0.1469550851
222	0.1466435177
223	0.1463357808
224	0.1460105196
225	0.1457169082
226	0.1453935661
227	0.1450457485
228	0.1446998576
229	0.1443715938
230	0.144088964
231	0.1437445016
232	0.1434160914
233	0.1430974313
234	0.1428076038
235	0.1424876938
236	0.1422269145
237	0.1419379575
238	0.1416430556
239	0.1413637737
240	0.1410231467
241	0.1407035942
242	0.1404375979
243	0.1401572464
244	0.1398425801
245	0.1395849128
246	0.1393524334
247	0.1390294904
248	0.1387704085
249	0.1385677359
250	0.1383062169
251	0.1380115719
252	0.1377538965
253	0.1374864991
254	0.1372568188
255	0.1370053536
256	0.1367692199
257	0.1365415753
258	0.1362578242
259	0.1359708513
260	0.135719297
261	0.1354898533
262	0.135248473
263	0.135029524
264	0.1348029167
265	0.1345333419
266	0.1343193654
267	0.1340842802
268	0.1338383964
269	0.1336101074
270	0.1334061725
271	0.1331778716
272	0.1329750584
273	0.1327221995
274	0.1324930922
275	0.1322790383
276	0.132061214
277	0.1318672773
278	0.1316615316
279	0.1314624903
280	0.1312265746
281	0.1309897473
282	0.1308165115
283	0.1306384207
284	0.1304189621
285	0.1302462418
286	0.1300282429
287	0.1298097811
288	0.1296045806
289	0.1294050182
290	0.1292398134
291	0.1290786917
292	0.1288747359
293	0.1286941855
294	0.1284950969
295	0.1283139461
296	0.1281177622
297	0.1279492754
298	0.1277555693
299	0.1275585476
300	0.1273850318
301	0.1271985175
302	0.1270187509
303	0.1268635571
304	0.1266931825
305	0.1265302309
306	0.1263947379
307	0.1261927505
308	0.1260079067
309	0.125789858
310	0.1256121171
311	0.1254449805
312	0.1252790791
313	0.1251259019
314	0.1249844596
315	0.1247980968
316	0.1246493913
317	0.1245092512
318	0.1243545622
319	0.1241783862
320	0.124030621
321	0.123923788
322	0.123763605
323	0.1236109411
324	0.1234367522
325	0.1232898549
326	0.1231167732
327	0.1229779081
328	0.1228050122
329	0.1226670358
330	0.1225395121
331	0.1223847
332	0.122257731
333	0.1221306589
334	0.1219850008
335	0.1218551819
336	0.1217431023
337	0.1215991949
338	0.1214542092
339	0.1213278599
340	0.1211784711
341	0.121065568
342	0.1209954803
343	0.1208812009
344	0.1207089604
345	0.1205489664
346	0.1204153246
347	0.1203198384
348	0.120216055
349	0.1200951499
350	0.1199718763
351	0.1198799659
352	0.1197448069
353	0.1196225215
354	0.1194939331
355	0.1193774325
356	0.1192508177
357	0.1191281433
358	0.1190131256
359	0.1189119047
360	0.1187955354
361	0.1186720567
362	0.1185255255
363	0.1184254592
364	0.1183292845
365	0.1182284937
366	0.1180952335
367	0.1179828991
368	0.1178499255
369	0.1177283106
370	0.1176172583
371	0.1175184596
372	0.1174009715
373	0.1172926397
374	0.1172096541
375	0.1170954357
376	0.116985872
377	0.1168526803
378	0.1167420792
379	0.1166120894
380	0.1165215535
381	0.116407886
382	0.1162945839
383	0.116167364
384	0.1160779777
385	0.1159991347
386	0.1158820002
387	0.115784266
388	0.1156671935
389	0.1155691889
390	0.115475164
391	0.1153662338
392	0.1152600165
393	0.1151893556
394	0.1150897237
395	0.114966101
396	0.1148486826
397	0.1147586605
398	0.1146484922
399	0.1145312734
400	0.1144107735
401	0.1143129962
402	0.11423031
403	0.1141257209
404	0.1140421786
405	0.1139477534
406	0.1138624526
407	0.1137906317
408	0.1137025816
409	0.1136422808
410	0.1135487264
411	0.1134404825
412	0.1133536238
413	0.1132796186
