iter	Passed	Remaining
0	50	150996
1	53	80209
2	56	56250
3	57	43330
4	60	36366
5	63	31768
6	66	28441
7	69	25956
8	72	24015
9	75	22461
10	77	21145
11	80	20040
12	83	19140
13	85	18329
14	88	17612
15	90	16956
16	93	16427
17	96	15964
18	99	15534
19	101	15183
20	104	14857
21	107	14545
22	109	14233
23	112	13975
24	115	13735
25	118	13510
26	120	13290
27	123	13091
28	126	12915
29	128	12755
30	131	12599
31	134	12445
32	138	12432
33	140	12295
34	143	12177
35	146	12066
36	148	11912
37	150	11735
38	152	11560
39	154	11401
40	155	11246
41	157	11101
42	159	10959
43	161	10849
44	163	10731
45	165	10658
46	167	10541
47	169	10424
48	171	10330
49	173	10225
50	175	10136
51	177	10040
52	179	9985
53	181	9897
54	183	9830
55	185	9771
56	188	9731
57	190	9670
58	192	9616
59	194	9552
60	197	9497
61	199	9437
62	201	9375
63	202	9305
64	204	9239
65	206	9181
66	208	9123
67	210	9077
68	212	9016
69	214	8968
70	216	8917
71	218	8877
72	220	8832
73	222	8793
74	224	8750
75	226	8711
76	228	8667
77	230	8628
78	232	8593
79	234	8556
80	236	8524
81	238	8489
82	240	8448
83	242	8416
84	244	8387
85	246	8348
86	248	8321
87	250	8288
88	252	8255
89	254	8235
90	256	8205
91	258	8182
92	260	8151
93	262	8124
94	264	8095
95	266	8074
96	269	8078
97	272	8056
98	274	8029
99	276	8011
100	279	8015
101	281	8005
102	284	8002
103	287	7994
104	289	7985
105	292	7981
106	294	7969
107	297	7957
108	299	7938
109	301	7925
110	304	7918
111	306	7911
112	310	7937
113	313	7933
114	316	7931
115	318	7917
116	320	7907
117	323	7897
118	325	7880
119	327	7857
120	329	7843
121	331	7829
122	334	7816
123	336	7800
124	338	7783
125	340	7770
126	342	7757
127	345	7743
128	347	7730
129	349	7718
130	351	7704
131	355	7720
132	357	7716
133	360	7708
134	362	7699
135	365	7692
136	367	7679
137	369	7669
138	372	7661
139	374	7654
140	377	7646
141	379	7637
142	382	7633
143	384	7624
144	387	7634
145	390	7633
146	392	7626
147	396	7647
148	400	7660
149	402	7650
150	405	7644
151	407	7638
152	409	7627
153	412	7621
154	414	7617
155	417	7610
156	419	7599
157	422	7595
158	424	7588
159	427	7579
160	429	7572
161	431	7564
162	434	7560
163	436	7548
164	438	7541
165	441	7533
166	443	7523
167	445	7515
168	448	7505
169	450	7497
170	452	7485
171	454	7474
172	457	7470
173	459	7459
174	461	7450
175	463	7442
176	468	7465
177	470	7460
178	473	7455
179	475	7446
180	477	7439
181	481	7449
182	483	7446
183	486	7438
184	488	7436
185	491	7432
186	493	7426
187	496	7427
188	498	7420
189	502	7428
190	506	7449
191	509	7450
192	512	7448
193	515	7454
194	517	7448
